LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Income Score,Employment Score,"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score 
E01013858,Nottingham 025A,E06000018,Nottingham,40.936,46.271,62.294,35.039,27.444,18.708,24.53
E01013860,Nottingham 025B,E06000018,Nottingham,53.576,76.486,45.801,71.11,14.015,12.742,12.773
E01013862,Nottingham 025C,E06000018,Nottingham,65.139,70.303,61.771,69.353,27.339,35.478,15.138
E01013863,Nottingham 025D,E06000018,Nottingham,30.674,30.813,30.964,35.889,26.236,7.321,20.229
E01013944,Nottingham 026A,E06000018,Nottingham,21.786,25.015,38.54,24.568,52.644,26.554,60.251
E01013945,Nottingham 026B,E06000018,Nottingham,42.234,37.986,39.937,63.161,48.614,40.13,41.47
E01013947,Nottingham 026D,E06000018,Nottingham,37.276,34.294,41.454,75.342,41.084,32.55,58.019
E01013948,Nottingham 026E,E06000018,Nottingham,88.899,91.739,59.652,81.539,67.616,39.037,24.677
E01013953,Nottingham 026F,E06000018,Nottingham,1.045,0.079,16.116,20.406,17.018,32.06,36.439
E01033395,Nottingham 026G,E06000018,Nottingham,0.908,0.181,18.963,27.932,16.247,75.379,50.361
E01033396,Nottingham 026H,E06000018,Nottingham,49.897,52.836,32.71,65.269,53.238,34.046,24.749
E01013977,Nottingham 027A,E06000018,Nottingham,10.05,12.774,1.885,17.453,13.22,27.544,16.157
E01013978,Nottingham 027B,E06000018,Nottingham,13.687,10.81,6.317,17.712,13.399,23.937,20.569
E01013979,Nottingham 027C,E06000018,Nottingham,7.21,7.076,1.435,8.701,20.337,4.637,14.99
E01013981,Nottingham 027D,E06000018,Nottingham,4.257,5.646,0.942,6.812,9.223,15.087,13.854
E01032520,Nottingham 028E,E06000018,Nottingham,0.178,0.107,1.446,6.082,33.37,30.538,52.44
E01032522,Nottingham 028F,E06000018,Nottingham,0.318,0.301,0.905,3.709,26.416,70.733,91.889
E01033404,Nottingham 028G,E06000018,Nottingham,10.971,6.575,23.222,40.825,28.505,36.024,53.098
E01013918,Nottingham 029A,E06000018,Nottingham,48.071,44.887,34.566,43.619,17.234,11.586,59.55
E01013919,Nottingham 029B,E06000018,Nottingham,51.076,44.766,35.071,42.438,41.975,21.67,54.959
E01013920,Nottingham 029C,E06000018,Nottingham,54.115,60.828,38.838,70.524,25.605,19.444,32.816
E01013921,Nottingham 029D,E06000018,Nottingham,72.409,62.639,49.489,58.986,23.808,21.738,33.706
E01013957,Nottingham 029E,E06000018,Nottingham,46.385,47.705,38.051,43.697,54.371,16.208,33.691
E01013980,Nottingham 030A,E06000018,Nottingham,4.729,11.924,1.948,6.899,8.522,2.535,16.834
E01013982,Nottingham 030B,E06000018,Nottingham,2.859,4.832,0.463,4.958,24.423,5.648,17.959
E01013983,Nottingham 030C,E06000018,Nottingham,38.718,44.897,21.357,21.766,15.101,29.45,21.068
E01013984,Nottingham 030D,E06000018,Nottingham,2.153,4.078,0.773,7.212,10.158,8.704,10.481
E01013985,Nottingham 030E,E06000018,Nottingham,7.681,6.454,2.003,7.381,1.353,4.835,10.526
E01013924,Nottingham 031C,E06000018,Nottingham,26.607,20.262,50.269,75.991,29.738,36.358,54.334
E01013926,Nottingham 031E,E06000018,Nottingham,24.762,16.269,31.797,38.871,25.827,32.077,46.61
E01013928,Nottingham 031G,E06000018,Nottingham,7.455,2.921,17.98,36.358,8.45,26.861,39.242
E01033408,Nottingham 031H,E06000018,Nottingham,7.794,2.022,29.64,22.625,35.049,44.713,60.242
E01033410,Nottingham 031I,E06000018,Nottingham,1.055,0.157,12.923,17.47,16.767,35.863,26.633
E01013973,Nottingham 032A,E06000018,Nottingham,4.119,0.411,26.748,23.943,12.964,66.908,24.713
E01013974,Nottingham 032B,E06000018,Nottingham,16.6,14.891,18.747,43.836,23.18,36.375,53.59
